MD,ELECT_DENS,TEMP,Oxi,Nit,Hyd,Hel,O2,NO
-100.0,6360,181,0,0,0,0,80,920
-102.0,6530,188,0,0,0,0,87,913
-104.0,6594,197,0,0,0,0,93,907
-106.0,6612,210,0,0,0,0,97,903
-108.0,6614,225,0,0,0,0,101,899
-110.0,6615,244,0,0,0,0,103,897
-112.0,6477,266,0,0,0,0,104,896
-114.0,6149,292,0,0,0,0,101,899
-116.0,5734,320,0,0,0,0,96,904
-118.0,5311,350,0,0,0,0,90,910
-120.0,4936,381,0,0,0,0,85,915
-122.0,4644,409,0,0,0,0,82,918
-124.0,4455,430,0,0,0,0,81,919
-126.0,4374,448,0,0,0,0,81,918
-128.0,4395,465,1,0,0,0,84,916
-130.0,4505,481,1,0,0,0,88,911
-132.0,4687,496,1,0,0,0,94,905
-134.0,4921,510,1,0,0,0,101,898
-136.0,5189,524,2,0,0,0,109,889
-138.0,5477,537,2,0,0,0,118,880
-140.0,5782,549,2,0,0,0,127,871
-142.0,6106,560,3,0,0,0,137,860
-144.0,6470,571,4,0,0,0,148,849
-146.0,7427,581,5,0,0,0,170,825
-148.0,8806,591,6,0,0,0,199,795
-150.0,10331,600,8,0,0,0,228,763
-152.0,12003,609,11,0,0,0,258,731
-154.0,13822,617,14,0,0,0,288,698
-156.0,15783,625,17,0,0,0,317,666
-158.0,17884,632,22,0,0,0,344,634
-160.0,20119,639,27,0,0,0,368,604
-162.0,22482,646,33,0,0,0,390,577
-164.0,24964,652,38,0,0,0,408,553
-166.0,27558,658,42,0,0,0,423,534
-168.0,30253,664,43,0,0,0,436,520
-170.0,33046,669,42,0,0,0,446,510
-172.0,35961,674,42,0,0,0,453,503
-174.0,38994,679,43,0,0,0,456,497
-176.0,42136,683,48,0,0,0,456,494
-178.0,45375,688,54,0,0,0,451,491
-180.0,48700,692,62,1,0,0,444,489
-182.0,52097,695,73,1,0,0,434,487
-184.0,55552,699,87,1,0,0,422,485
-186.0,59050,702,103,1,0,0,409,482
-188.0,62576,706,121,1,0,0,394,477
-190.0,66113,709,142,1,0,0,378,471
-192.0,69644,711,166,2,0,0,362,463
-194.0,73154,714,193,2,0,0,344,453
-196.0,76627,717,222,2,0,0,327,441
-198.0,80045,719,253,2,0,0,309,426
-200.0,83393,722,286,2,0,0,291,410
-202.0,86657,724,321,3,0,0,274,392
-204.0,89822,726,357,3,0,0,257,372
-206.0,92875,728,394,3,0,0,240,352
-208.0,95804,730,430,3,0,0,225,331
-210.0,98598,731,466,3,0,0,210,309
-212.0,101248,733,501,4,0,0,196,288
-214.0,103744,735,535,4,0,0,183,267
-216.0,106082,736,567,4,0,0,171,247
-218.0,108254,738,598,4,0,0,160,227
-220.0,110258,739,627,4,0,0,150,208
-222.0,112091,740,655,4,0,0,140,191
-224.0,113753,741,681,4,0,0,131,175
-226.0,115244,743,705,4,0,0,122,159
